"Planet Name";"Pl. Mass";"Pl. Radius";"Pl. Period";"Pl. Semi-axis";"Pl. Ecc.";"Pl. Incl.";"Ang. Dist.";"Pl. Transit Time";"Pl. Secondary Transit Time";"Pl. Tperi";"Pl. omega";"St. Dist";"St. Spec. Type";"St. Mass";"St. [Fe/H]";"St. Right Asc.";"St. Decli.";"St. Mag. V.";"St. Mag. I";"St. Mag. H";"St. Mag. J";"St. Mag. K";"St. Radius";"St. Effect Temp";"St. Age";
"HAT-P-27/WASP-40 b";"0.66";"1.055";"3.0395721";"0.0403";"0.078";"84.98";"0.000198";"2455368.39398";;;"63";"204";"G8";"0.945";"0.29";"14 51 04";"+05 56 50";"12.21";;;;;"0.898";"5300";"4.4";
"HAT-P-28 b";"0.626";"1.212";"3.257215";"0.0434";"0.051";"88";"0.00011";"2455417.59832";;;"233";"395";"G3";"1.025";"0.12";"00 52 00";"+34 43 42";"13.03";;;;;"1.103";"5680";"6.1";
"HAT-P-29 b";"0.778";"1.107";"5.72318";"0.0667";"0.095";"87.1";"0.000207";"2455197.5754";;;"169";"322";"F8";"1.207";"0.21";"02 12 31";"+51 46 44";"11.9";;;;;"1.224";"6087";"2.2";
"HAT-P-3 b";"0.591";"0.827";"2.899703";"0.03866";"0.0";"87.07";"0.000297";"2454856.70118";;;;"130";"K";"0.917";"0.27";"13 44 23";"+48 01 43";"11.86";;"9.542";"9.936";"9.448";"0.799";"5185";"1.6";
"HAT-P-30/WASP-51 b";"0.711";"1.34";"2.810595";"0.0419";"0.035";"83.6";"0.000217";"2455456.46561";;;"252";"193";"F";"1.18";"-0.08";"08 15 48";"+05 50 12";"10.42";;;;;"1.33";"6250";"1";
"HAT-P-31 b";"2.171";"1.07";"5.005425";"0.055";"0.245";"87.1";"0.000155";"2454320.8866";;;"274.3";"354";;"1.218";"0.15";"18 06 09";"+26 25 36";"11.66";;;;;"1.36";"6065";"3.17";
"HAT-P-32 b";"0.941";"2.037";"2.150009";"0.0344";"0.163";"88.7";"0.000108";"2454416.14639";;;"52";"320";"F/G";"1.176";"-0.16";"02 01 10";"+46 41 16";"11.29";;;;;"1.387";"6001";"3.8";
"HAT-P-33 b";"0.763";"1.827";"3.474474";"0.0503";"0.148";"86.7";"0.00012";"2455100.50255";;;"96";"419";"F";"1.403";"0.05";"07 32 44";"+33 50 06";"11.89";;;;;"1.777";"6401";"2.4";
"HAT-P-34 b";"3.328";"1.107";"5.452654";"0.0677";"0.441";"87.1";"0.000263";"2455431.59629";"2455435.721";;"20";"257";;"1.392";"0.22";"20 12 47";"+18 06 18";"10.16";;;;;"1.535";"6442";"1.7";
"HAT-P-35 b";"1.054";"1.332";"3.646706";"0.0498";"0.025";"87.3";"9.3e-05";"2455578.06081";"2455580.476";;"248";"535";;"1.236";"0.11";"08 13 00";"+04 47 13";"12.46";;;;;"1.435";"6096";"3.5";
"HAT-P-36 b";"1.832";"1.264";"1.327347";"0.0238";"0.063";"86";"7.5e-05";"2455565.18144";"2455565.844";;"95";"317";;"1.022";"0.26";"12 33 03";"+44 54 55";"12.26";;;;;"1.096";"5580";"6.6";
"HAT-P-37 b";"1.169";"1.178";"2.797436";"0.0379";"0.058";"86.9";"9.2e-05";"2455641.14318";"2455643.512";;"164";"411";;"0.929";"0.03";"18 57 11";"+51 16 09";"13.23";;;;;"0.877";"5500";"3.6";
"HAT-P-38 b";"0.267";"0.825";"4.640382";"0.0523";"0.067";"88.3";"0.00021";"2455863.11957";;;"240";"249";"G";"0.886";"0.06";;;"12.56";;;;;"0.923";"5330";"10.1";
"HAT-P-4 b";"0.68";"1.27";"3.0565114";"0.0446";"0.0";"89.67";"0.000144";"2454502.56227";;;;"310";"F";"1.26";"0.24";"15 19 58";"+36 13 47";"11.2";;;;;"1.59";"5860";"4.2";
"HAT-P-5 b";"1.06";"1.252";"2.788491";"0.04079";"0.0";"86.75";"0.00012";"2454241.77663";;;;"340";;"1.163";"0.24";"18 17 37";"+36 37 18";"12";"11.3";;;;"1.137";"5960";"1.7";
"HAT-P-6 b";"1.057";"1.33";"3.853003";"0.05235";"0.0";"85.51";"0.000262";"2454035.67617";"2455459.35654";;;"200";"F";"1.29";"-0.13";"23 39 06";"+42 27 58";"10.5";"10.6";;;;"1.46";"6570";"2.3";
"HAT-P-7 b";"1.8";"1.421";"2.2047298";"0.0379";"0.0";"84.1";"0.000118";"53785.8503";;;;"320";;"1.47";"0.26";"19 28 59";"+47 58 10";"10.5";;;;;"1.84";"6350";;
"HAT-P-8 b";"1.34";"1.5";"3.0763402";"0.0449";"0.0";"87.8";"0.000195";"2454437.67657";"2455211.37512";;;"230";;"1.28";"0.01";"22 52 10";"+35 26 50";"10.17";;;;;"1.58";"6200";"3.4";
"HAT-P-9 b";"0.67";"1.4";"3.922814";"0.053";"0.0";"86.5";"0.00011";"2455292.69558";;;;"480";"F";"1.28";"0.12";"07 20 40";"+37 08 26";;;"11.04";"11.27";"11.02";"1.32";"6350";"1.6";
"HATS-1 b";"1.855";"1.302";"3.446459";"0.0444";"0.12";"85.6";"0.000147";"2455241.28722";;;"60";"303";;"0.986";"-0.06";"11 42 06";"-23 21 17";"12.05";;;;;"1.038";"5870";"6";
"HD 100655 b";"1.7";;"157.57";"0.76";"0.085";;"0.00623";;;"2453072.4";"132";"122";"G9III";"2.4";"0.15";"11 35 04";"+20 26 30";"6.45";;;;;"9.3";"4861";;
"HD 100777 b";"1.16";;"383.7";"1.03";"0.36";;"0.019508";;;"53456.2";"202.7";"52.8";"K0";"1";"0.27";"11 35 52";"-04 45 21";"8.42";;;;;;"5582";"2";
"HD 10180 c";"0.041217";;"5.75979";"0.0641";"0.045";;"0.001627";;;;"332";"39.4";"G1V";"1.06";"0.08";"01 37 54";"-60 30 42";"7.33";;;;;;"5911";"4.3";
"HD 10180 d";"0.03696945";;"16.3579";"0.1286";"0.088";;"0.003264";;;;"315";"39.4";"G1V";"1.06";"0.08";"01 37 54";"-60 30 42";"7.33";;;;;;"5911";"4.3";
"HD 10180 e";"0.07897304";;"49.745";"0.2699";"0.026";;"0.00685";;;;"166";"39.4";"G1V";"1.06";"0.08";"01 37 54";"-60 30 42";"7.33";;;;;;"5911";"4.3";
"HD 10180 f";"0.07519743";;"122.76";"0.4929";"0.135";;"0.01251";;;;"332";"39.4";"G1V";"1.06";"0.08";"01 37 54";"-60 30 42";"7.33";;;;;;"5911";"4.3";
"HD 10180 g";"0.06733159";;"601.2";"1.422";"0.19";;"0.036091";;;;"347";"39.4";"G1V";"1.06";"0.08";"01 37 54";"-60 30 42";"7.33";;;;;;"5911";"4.3";
"HD 10180 h";"0.202624";;"2222";"3.4";"0.08";;"0.086294";;;;"174";"39.4";"G1V";"1.06";"0.08";"01 37 54";"-60 30 42";"7.33";;;;;;"5911";"4.3";
"HD 101930 b";"0.3";;"70.46";"0.302";"0.11";;"0.009905";;;"53145";"251";"30.49";"K1 V";"0.74";"0.17";"11 43 30";"-58 00 24";"8.21";;;;;;"5079";"5.39";
"HD 102117 b";"0.172";;"20.67";"0.1532";"0.106";;"0.003648";;;"10942.9";"283";"42";"G6V";"1.03";"0.3";"11 44 50";"-58 42 13";"7.47";;;;;"1.27";"5672";"6.21";
"HD 102195 b";"0.45";;"4.113775";"0.049";"0.0";;"0.001691";;;;;"28.98";"K0V";"0.926";"0.05";"11 45 42";"+02 49 17";"8.05";;;;;"0.835";"5291";"2.4";
"HD 102272 b";"5.9";;"127.58";"0.614";"0.05";;"0.001706";;;"52146.5";"118";"360";"K0";"1.9";"0.26";"11 46 24";"+14 07 26";"8.71";;"6.4";"6.9";"6.26";"10.1";"4908";;
"HD 102272 c";"2.6";;"520";"1.57";"0.68";;"0.004361";;;"54135.5";"320";"360";"K0";"1.9";"0.26";"11 46 24";"+14 07 26";"8.71";;"6.4";"6.9";"6.26";"10.1";"4908";;
"HD 102329 b";"5.9";;"778.1";"2.01";"0.211";;"0.012722";;;"2455096";"182";"158";;"1.95";"0.3";"11 46 47";"+03 28 27";"8.04";;;;;"6.3";"4830";"1.6";
"HD 102365 b";"0.05";;"122.1";"0.46";"0.34";;"0.049784";;;"2450129";"105";"9.24";"G2V";"0.85";"-0.28";"11 46 31";"-40 30 01";"4.89";;;;;;"5650";"9";
"HD 102956 b";"0.96";;"6.495";"0.081";"0.048";;"0.000643";;;"2455346";"12";"126";"A";"1.68";"0.19";"11 51 23";"+57 38 27";"8";;;;;"4.4";"5054";"2.3";
"HD 103197 b";"0.098";;"47.84";"0.249";"0.0";;"0.005051";;;;;"49.3";"K1V";"0.9";"0.21";"11 52 53";"-50 17 34";"9.41";;;;;;"5303";"9.1";
"HD 104067 b";"0.186";;"55.806";"0.2643";"0.0";;"0.012707";;;;;"20.8";"K2V";"0.791";"-0.06";"11 59 10";"-20 21 14";"7.93";;;;;;"4969";"4.33";
"HD 104985 b";"6.3";;"198.2";"0.78";"0.03";;"0.007647";;;"1900";"310";"102";"G9 III";"1.6";"-0.35";"12 05 15";"+76 54 20";"5.79";;;;;"10.87";"4786";"2.95";
"HD 106252 b";"7.56";;"1600";"2.7";"0.47";"166.7";"0.072115";;;"51871";"292.2";"37.44";"G0";"0.96";"-0.078";"12 13 29";"+10 02 29";"7.36";;;;;"1.09";"5754";"5.02";
"HD 106270 b";"11";;"2890";"4.3";"0.402";;"0.050648";;;"2454830";"15.4";"84.9";"G5";"1.32";"0.08";"12 13 37";"-09 30 48";"7.73";;;;;"2.5";"5638";"4.3";
"HD 10647 b";"0.93";;"1003";"2.03";"0.1";;"0.117341";;;"396";"108.9";"17.3";"F8V";"1.1";"-0.078";"01 42 29";"-53 44 27";"5.52";;;;;"1.1";"6039";"4.8";
"HD 106515A b";"10.5";;"3630";;"0.6";;;;;;;"35.2";"G5";;;"12 15 07";"-07 15 26";"7.35";;;;;;;;
"HD 10697 b";"6.38";;"1076.4";"2.16";"0.1";"69";"0.066339";;;"396";"108.9";"32.56";"G5 IV";"1.15";"0.1";"01 44 55";"+20 04 59";"6.29";;;;;"1.72";"5641";"6.9";
"HD 107148 b";"0.21";;"48.056";"0.269";"0.05";;"0.005244";;;"-31";"75";"51.3";"G5";"1.12";"0.314";"12 19 13";"-03 19 11";"8.01";;;;;;"5797";"5.6";
"HD 108147 b";"0.261";;"10.8985";"0.102";"0.53";;"0.002645";;;"828.86";"308";"38.57";"F8/G0 V";"1.19";"0.18";"12 25 46";"-64 01 19";"6.99";;;;;"1.22";"6067";"1.98";
"HD 108863 b";"2.6";;"443.4";"1.4";"0.1";;"0.010072";;;"2455516";"177";"139";"K0";"1.85";"0.2";"12 30 20";"+21 56 54";"7.89";;;;;"5.6";"4956";"1.8";
"HD 108874 b";"1.36";;"395.4";"1.051";"0.07";;"0.015343";;;"60131.5";"248.4";"68.5";"G5";"1";"0.14";"12 30 26";"+22 52 47";"8.76";;;;;"1.22";"5407";"7.26";
"HD 108874 c";"1.018";;"1605.8";"2.68";"0.25";;"0.039124";;;"14584.8";"17.3";"68.5";"G5";"1";"0.14";"12 30 26";"+22 52 47";"8.76";;;;;"1.22";"5407";"7.26";
"HD 109246 b";"0.77";;"68.27";"0.33";"0.12";;"0.00503";;;"54824.6";"235";"65.6";"GOV";"1.01";"0.1";"12 32 07";"+74 29 22";"8.77";;;;;"1.02";"5844";;
"HD 109749 b";"0.28";;"5.24";"0.0635";"0.01";;"0.001076";;;;;"59";"G3 IV";"1.2";"0.25";"12 37 16";"-40 48 43";"8.1";;;;;;"5610";"10.3";
"HD 110014 b";"11.09";;"835.477";"2.14";"0.462";;"0.023778";;;;"290.6";"90";"K2III";"2.17";"0.19";"12 39 14";"-07 59 44";"4.66";;;;;"20.9";"4445";"0.95";
"HD 111232 b";"6.8";;"1143";"1.97";"0.2";;"0.067931";;;"51230";"98";"29";"G8V";"0.78";"-0.36";"12 48 51";"-68 25 30";"7.61";;;;;;"5494";"5.2";
"HD 113538 b";"0.27";;"263.3";"0.71";"0.61";;"0.044937";;;"54950";"74";"15.8";"K9V";"0.7";"-0.17";"13 04 57";"-52 26 35";"9.02";;;;;"0.65";"4685";"1.3";
"HD 113538 c";"0.71";;"1657";"2.43";"0.32";;"0.153797";;;"56110";"-90";"15.8";"K9V";"0.7";"-0.17";"13 04 57";"-52 26 35";"9.02";;;;;"0.65";"4685";"1.3";
"HD 114386 b";"1.24";;"937";"1.65";"0.23";;"0.058929";;;"50454";"273";"28";"K3 V";"0.75";;"13 10 39";"-35 03 17";"8.73";;;;;"0.76";"4819";"2.19";
"HD 114386 c";"1.19";;"1046";;"0.06";;;;;;;"28";"K3 V";"0.75";;"13 10 39";"-35 03 17";"8.73";;;;;"0.76";"4819";"2.19";
"HD 114729 b";"0.84";;"1135";"2.08";"0.32";;"0.059429";;;"451";"73";"35";"G3 V";"0.93";"-0.22";"13 12 44";"-31 52 24";"6.69";;;;;"1.46";"5662";"4.58";
"HD 114762 b";"10.98";;"83.9151";"0.353";"0.3354";;"0.008946";;;"9889.106";"201.28";"39.46";"F9V";"0.84";"-0.71";"13 12 19";"+17 31 01";"7.3";;;;;"1.24";"5934";"11.8";
"HD 114783 b";"1";;"501";"1.2";"0.1";"10";"0.058824";;;"1840";"97";"20.4";"K0";"0.92";"0.33";"13 12 43";"-02 15 54";"7.57";;;;;"0.78";"5105";"3.7";
"HD 11506 b";"3.44";;"1270";"2.43";"0.22";;"0.045151";;;"13666.3";"4.5";"53.82";"G0V";"1.19";"0.31";"01 52 51";"-19 30 25";"7.51";;;;;"1.38";"6058";"5.4";
"HD 11506 c";"0.82";;"170.46";"0.639";"0.42";;"0.011873";;;;"4.1";"53.82";"G0V";"1.19";"0.31";"01 52 51";"-19 30 25";"7.51";;;;;"1.38";"6058";"5.4";
"HD 116029 b";"2.1";;"670.2";"1.73";"0.21";;"0.014042";;;"2455220";"360";"123.2";"K1III";"1.58";"0.18";"13 20 40";"+24 38 55";"8.04";;;;;"4.6";"4951";"2.7";
"HD 117207 b";"2.06";;"2627.08";"3.78";"0.16";;"0.114545";;;"2450666.43";"81.7";"33";"G8VI/V";"1.07";"0.27";"13 29 21";"-35 34 15";"7.26";;;;;"1.09";"5432";"6.68";
"HD 117618 b";"0.178";;"25.827";"0.176";"0.42";;"0.004632";;;"832.2";"245";"38";"G2V";"1.05";"0.04";"13 32 25";"-47 16 16";"7.18";;;;;"1.19";"5861";"3.88";
"HD 118203 b";"2.13";;"6.1335";"0.07";"0.309";;"0.00079";;;"53394.23";"155.7";"88.6";"K0";"1.23";"0.1";"13 34 02";"+53 43 42";"8.05";;;;;;"5600";"4.6";
"HD 11964 b";"0.622";;"1945";"3.16";"0.041";;"0.092996";;;"54170";"155";"33.98";"G5";"1.125";"0.17";"01 57 09";"-10 14 32";"6.42";;;;;"2.18";"5248";"9.56";
"HD 11964 c";"0.079";;"37.91";"0.229";"0.3";;"0.006739";;;"54370";"102";"33.98";"G5";"1.125";"0.17";"01 57 09";"-10 14 32";"6.42";;;;;"2.18";"5248";"9.56";
"HD 11977 b";"6.54";;"711";"1.93";"0.4";;"0.029023";;;"1420";"351.5";"66.5";"G8.5 III";"1.91";"-0.21";"01 54 56";"-67 38 50";"4.7";;;;;"13";"4975";"1.25";
"HD 121504 b";"1.22";;"63.33";"0.33";"0.03";;"0.007437";;;"51450";"265";"44.37";"G2 V";"1.18";"0.16";"13 57 17";"-56 02 24";"7.54";;;;;;"6075";"1.62";
"HD 122430 b";"3.71";;"344.95";"1.02";"0.68";;"0.007556";;;"2451986.71";"91.04";"135";" K3III";"1.39";"-0.05";"14 02 22";"-27 25 47";"5.48";;;;;"22.9";"4300";"3.11";
"HD 125595 b";"0.042";;"9.6737";"0.0809";"0.0";;"0.002953";;;;;"27.4";"K4V";"0.756";"0.02";"14 21 23";"-40 23 38";"9.03";;;;;;"4908";"3.53";
"HD 125612 b";"3";;"502";"1.37";"0.46";;"0.025937";;;"54894.9";"41.5";"52.82";"G3V";"1.1";"0.24";"14 20 54";"-17 28 53";"8.31";;;;;"1.05";"5897";"2.1";
"HD 125612 c";"0.058";;"4.1547";"0.05";"0.27";;"0.000947";;;"54420.17";"103";"52.82";"G3V";"1.1";"0.24";"14 20 54";"-17 28 53";"8.31";;;;;"1.05";"5897";"2.1";
"HD 125612 d";"7.2";;"3008";"4.2";"0.28";;"0.079515";;;"57174";"-76";"52.82";"G3V";"1.1";"0.24";"14 20 54";"-17 28 53";"8.31";;;;;"1.05";"5897";"2.1";
"HD 126525 b";"0.224";;"948.12";"1.8105";"0.13";;"0.04752";;;;;"38.1";"G4V";;;"14 27 33";"-51 55 59";"7.85";;;;;;;;
"HD 12661 b";"2.3";;"263.6";"0.83";"0.377";;"0.022336";;;"2454152.76";"296";"37.16";"G6 V";"1.07";"0.29";"02 04 34";"+25 24 51";"7.44";;;;;"1.12";"5742";"7.05";
"HD 12661 c";"1.57";;"1708";"2.56";"0.031";;"0.068891";;;"4170";"165";"37.16";"G6 V";"1.07";"0.29";"02 04 34";"+25 24 51";"7.44";;;;;"1.12";"5742";"7.05";
"HD 126614 b";"0.38";;"1244";"2.35";"0.41";;"0.032459";;;"23808";"243";"72.4";"K0";"1.145";"0.56";"14 26 48";"-05 10 40";"8.81";;;;;"1.09";"5585";"7.2";
"HD 128311 b";"2.18";;"448.6";"1.099";"0.25";;"0.066205";;;"2450210.9";"110.9";"16.6";"K0V";"0.84";"0.08";"14 36 00";"+09 44 47";"7.51";;;;;"0.73";"4965";"0.39";
"HD 128311 c";"3.21";;"919";"1.76";"0.17";"50";"0.106024";;;"2450012.2";"195.5";"16.6";"K0V";"0.84";"0.08";"14 36 00";"+09 44 47";"7.51";;;;;"0.73";"4965";"0.39";
"HD 129445 b";"1.6";;"1840";"2.9";"0.7";;"0.042893";;;"24553093";"163";"67.61";"G8V";"0.99";"0.25";"14 46 03";"-68 45 45";"8.8";;;;;;;;
"HD 130322 b";"1.02";;"10.72";"0.088";"0.044";"76";"0.002933";;;"51287.38";"203.63";"30";"K0 V";"0.79";"-0.02";"14 47 33";"-00 16 53";"8.05";;;;;"0.83";"5330";"0.35";
"HD 131496 b";"2.2";;"883";"2.09";"0.163";;"0.019";;;"2456040";"22";"110";"K0";"1.61";"0.25";"14 53 23";"+18 14 07";"7.96";;;;;"4.6";"4927";"2.7";
"HD 13189 b";"14";;"471.6";"1.85";"0.27";;"0.01";;;"2455327.9";"160.7";"185";"K2 II";"4.5";;"02 09 40";"+32 18 59";"7.57";;;;;"50.39";;;
"HD 132406 b";"5.61";;"974";"1.98";"0.34";;"0.027887";;;"53474";"214";"71";"G0V";"1.09";"0.18";"14 56 55";"+53 22 56";"8.45";;;;;;"5885";"6.4";
"HD 132563B b";"1.49";;"1544";"2.62";"0.22";;"0.027292";;;"2452593";"158";"96";;"1.01";"-0.19";"14 58 21";"+44 02 36";"9.47";;;;;;"5985";"5";
"HD 134060 b";"0.0351";;"3.27";"0.0444";"0.4";;"0.001835";;;;;"24.2";"G0V";;;"15 10 45";"-61 25 20";"6.29";;;;;;;;
"HD 134060 c";"0.1507";;"1160.9";"2.2263";"0.75";;"0.091996";;;;;"24.2";"G0V";;;"15 10 45";"-61 25 20";"6.29";;;;;;;;
"HD 134606 b";"0.0292";;"12.083";"0.1023";"0.15";;"0.00386";;;;;"26.5";"G6IV";;;"15 15 15";"-70 31 11";"6.85";;;;;;;;
"HD 134606 c";"0.0382";;"59.519";"0.2962";"0.29";;"0.011177";;;;;"26.5";"G6IV";;;"15 15 15";"-70 31 11";"6.85";;;;;;;;
"HD 134606 d";"0.121";;"459.26";"1.1567";"0.46";;"0.043649";;;;;"26.5";"G6IV";;;"15 15 15";"-70 31 11";"6.85";;;;;;;;
"HD 134987 b";"1.59";;"258.19";"0.81";"0.233";;"0.036486";;;"10071";"252.7";"22.2";"G5 V";"1.07";"0.25";"15 13 28";"-25 18 33";"6.45";;;;;"1.25";"5740";"9.7";
"HD 134987 c";"0.82";;"5000";"5.8";"0.12";;"0.261261";;;"11100";"195";"22.2";"G5 V";"1.07";"0.25";"15 13 28";"-25 18 33";"6.45";;;;;"1.25";"5740";"9.7";
"HD 136352 b";"0.0166";;"11.577";"0.0933";"0.18";;"0.006304";;;;;"14.8";"G4V";;;"15 21 48";"-48 19 03";"5.65";;;;;;;;
"HD 136352 c";"0.0358";;"27.582";"0.1665";"0.16";;"0.01125";;;;;"14.8";"G4V";;;"15 21 48";"-48 19 03";"5.65";;;;;;;;
"HD 136352 d";"0.03";;"106.72";"0.411";"0.43";;"0.02777";;;;;"14.8";"G4V";;;"15 21 48";"-48 19 03";"5.65";;;;;;;;
"HD 136418 b";"2";;"464.3";"1.32";"0.255";;"0.013442";;;"2455228";"12";"98.2";"G5";"1.33";"-0.07";"15 19 07";"+41 43 60";"7.88";;;;;"3.4";"5071";"4";
"HD 137388 b";"0.223";;"330";"0.89";"0.36";;"0.023421";;;"2455209";"86";"38";"K0/K1V";"0.86";"0.18";"15 35 40";"-80 12 17";"8.71";;;;;"0.82";"5240";"6.45";
"HD 13808 b";"0.0325";;"14.182";"0.1017";"0.17";;"0.003556";;;;;"28.6";"K2V";;;"02 12 43";"-53 44 38";"8.38";;;;;;;;
"HD 13808 c";"0.036";;"53.832";"0.2476";"0.43";;"0.008657";;;;;"28.6";"K2V";;;"02 12 43";"-53 44 38";"8.38";;;;;;;;
"HD 13931 b";"1.88";;"4218";"5.15";"0.02";;"0.116516";;;"24494";"290";"44.2";"G0";"1.02";"0.03";"02 16 47";"+43 46 23";"7.61";;;;;"1.23";"5829";"8.4";
"HD 139357 b";"9.76";;"1125.7";"2.36";"0.1";;"0.01944";;;"2452466.7";"235.4";"121.4";"K4III";"1.35";"-0.13";"15 35 16";"+53 55 20";"5.98";;;;;"11.47";"4700";"3.07";
"HD 141937 b";"9.7";;"653.22";"1.52";"0.41";;"0.045427";;;"51847.38";"187.72";"33.46";"G2/G3 V";"1.1";"0.11";"15 52 17";"-18 26 09";"7.25";;;;;"1.06";"5925";"2.55";
"HD 142 b";"1.25";;"349.7";"1.02";"0.17";;"0.049515";;;"2452683";"327";"20.6";"G1 IV";"1.1";"0.04";"00 06 19";"-49 04 30";"5.7";;;;;"0.86";"6180";"5.93";
"HD 142 c";"5.3";;"6005";"6.8";"0.21";;"0.330097";;;"2455954";"250";"20.6";"G1 IV";"1.1";"0.04";"00 06 19";"-49 04 30";"5.7";;;;;"0.86";"6180";"5.93";
"HD 142022 A b";"5.1";;"1928";"3.03";"0.53";"10";"0.084472";;;"50941";"170";"35.87";"K0 V";"0.99";"0.19";"16 10 15";"-84 13 53";"7.7";;;;;"0.705";"5382";"13.3";
"HD 142245 b";"1.9";;"1299";"2.77";"0.32";;"0.025297";;;"2454760";"234";"109.5";"K0";"1.69";"0.23";"15 52 56";"+15 25 51";"7.63";;;;;"5.2";"4878";"2.3";
"HD 142415 b";"1.62";;"386.3";"1.05";"0.5";;"0.030702";;;"51519";"255";"34.2";"G1 V";"1.09";"0.21";"15 57 40";"-60 12 00";"7.34";;;;;"1.03";"5834";"1.49";
"HD 143361 b";"3.12";;"1057";"2";"0.15";;"0.033698";;;"3746";"237";"59.35";"G0V";"0.95";"0.29";"16 01 50";"-44 26 04";"9.2";;;;;;;;
"HD 145377 b";"5.76";;"103.95";"0.45";"0.307";;"0.007799";;;"54635.4";"138.1";"57.7";"G3V";"1.12";"0.12";"16 11 36";"-27 04 41";"8.12";;;;;"1.14";"6046";"1.3";
"HD 145457 b";"2.9";;"176.3";"0.76";"0.112";;"0.006032";;;"3518";"300";"126";"K0";"1.9";"-0.14";"16 10 04";"+26 44 34";"6.57";;;;;"9.9";"4757";;
"HD 1461 b";"0.0239";;"5.7727";"0.063438";"0.14";;"0.002711";;;"2450366.936";"58";"23.4";"G0V";"1.08";"0.19";"00 18 42";"-08 03 11";"6.64";;;;;"1.095";"5765";"6.3";
"HD 1461 c";"0.0186";;"13.505";"0.1117";"0.0";;"0.004774";;;;;"23.4";"G0V";"1.08";"0.19";"00 18 42";"-08 03 11";"6.64";;;;;"1.095";"5765";"6.3";
"HD 147018 b";"2.12";;"44.236";"0.2388";"0.4686";;"0.005559";;;"4459.49";"-24.03";"42.96";"G9V";"0.927";"0.1";"16 23 00";"-61 41 20";"8.3";;;;;;"5441";"6.36";
"HD 147018 c";"6.56";;"1008";"1.922";"0.133";;"0.044739";;;"55301";"-133.1";"42.96";"G9V";"0.927";"0.1";"16 23 00";"-61 41 20";"8.3";;;;;;"5441";"6.36";
"HD 147513 b";"1.21";;"528.4";"1.32";"0.26";;"0.102326";;;"51672";"282";"12.9";"G3/G5V";"0.92";"-0.03";"16 24 01";"-39 11 34";"5.37";;;;;"1";"5701";"0.65";
"HD 148156 b";"0.85";;"1010";"2.45";"0.52";;"0.046183";;;"4707";"35";"53.05";"F8V";"1.22";"0.29";"16 28 17";"-46 19 03";"7.69";;;;;"1.21";"6308";;
"HD 148427 b";"0.96";;"331.5";"0.93";"0.16";;"0.015683";;;"13991";"277";"59.3";"K0IV";"1.45";"0.154";"16 28 28";"-13 23 59";"6.89";;;;;"3.22";"5052";"2.5";
"HD 149026 b";"0.356";"0.718";"2.8758916";"0.04288";"0.0";"85.3";"0.000543";"2454597.70713";;"2453317.838";;"78.9";"G0 IV";"1.3";"0.36";"16 30 29";"+38 20 50";"8.15";;;;;"1.497";"6147";"2";
"HD 149143 b";"1.36";;"4.088";"0.052";"0.0";;"0.000825";;;"53588";;"63";"G0 IV";"1.1";"0.26";"16 32 51";"+02 05 05";"7.9";;;;;;"5730";"7.6";
"HD 1502 b";"3.1";;"431.8";"1.31";"0.101";;"0.008239";;;"2455227";"219";"159";"K0D";"1.61";"0.09";"00 19 17";"+14 03 17";"8.52";;;;;"4.5";"5049";"2.4";
"HD 150433 b";"0.168";;"1096.2";"1.9303";"0.0";;"0.065213";;;;;"29.6";"G0";;;"16 41 08";"-02 51 26";"7.22";;;;;;;;
"HD 150706 b";"2.71";;"5894";"6.7";"0.38";;"0.246324";;;"2458179";"132";"27.2";"G0";"0.94";"-0.13";"16 31 17";"+79 47 23";"7.03";;;;;"0.87";"5741";"1.17";
"HD 152079 b";"3";;"2097";"3.2";"0.6";;"0.037572";;;"24553193";"325";"85.17";"G6V";"1.023";"0.16";"16 53 30";"-46 19 51";"9.18";;;;;;;;
"HD 152581 b";"1.5";;"689";"1.48";"0.22";;"0.007957";;;"2455320";"321";"186";"K0";"0.927";"-0.46";"16 53 44";"+11 58 25";"8.54";;;;;"4.8";"5155";"12";
"HD 153950 b";"2.73";;"499.4";"1.28";"0.34";;"0.025806";;;"54502";"308.2";"49.6";"F8V";"1.12";"-0.01";"17 04 31";"-43 18 35";"7.39";;;;;"1.34";"6076";"4.3";
"HD 154088 b";"0.0193";;"18.596";"0.1316";"0.38";;"0.007393";;;;;"17.8";"K0IV";;;"17 04 28";"-28 34 58";"6.58";;;;;;;;
"HD 154345 b";"1";;"3538";"4.3";"0.26";"50";"0.238095";;;"2454701";"-14";"18.06";"G8V";"0.88";"-0.105";"17 02 36";"+47 04 55";"6.74";;;;;;"5468";"4.92";
"HD 154672 b";"5.02";;"163.91";"0.6";"0.61";;"0.009119";;;"3045.3";"265";"65.8";"G3IV";"1.06";"0.26";"17 10 05";"-56 26 57";"8.22";;"6.7";"7.01";"6.61";"1.27";"5714";"9.28";
"HD 154857 b";"1.8";;"409";"1.2";"0.47";;"0.017518";;;;"59";"68.5";"G5V";"1.17";"-0.22";"17 11 15";"-56 40 50";"7.25";;;;;"2.42";"5445";"5.6";
"HD 155358 b";"0.85";;"194.3";"0.64";"0.17";;"0.014884";;;"2451224.8";"143";"43";"G0";"0.92";"-0.51";"17 09 35";"+33 21 21";"7.27";;;;;;"5900";"10.7";
