# Locations file.  This file is used to create the location list as used
# in the location selection dialog.
# Format:
# + One record per line
# + Fields in a record are delimited with the tab character
# + Line beginning with a # character are comments
# + Field are as follows:
#   - LocationName
#   - Provice/State
#   - Region (Code/Full English Name)
#   - Type code (C/B=Capital, R=Regional capital,N=Normal city,
#                O=Observatory, L=lander, I=spacecraft impact
#                A=spacecraft crash
#   - Population (thousand)
#   - Latitude (deg[N/S])
#   - Longitude (deg[E/W])
#   - Altitude (meters)
#   - Light Pollution (1-9 Bortle scale, empty=auto)
#   - TimeZone (empty=auto)
#   - Planet (empty=Earth)
#   - LandscapeKey (empty=auto)
Posadas	Misiones	08	R	305.874	27.36708S	55.89608W	127	7	America/Argentina/Cordoba
Pontevedra	Buenos Aires	08	N	33.515	34.74785S	58.70072W	24	5	America/Argentina/Buenos_Aires
Pirane	Formosa	08	N	19.124	25.73239S	59.10879W	86	5	America/Argentina/Cordoba
Pilar	Buenos Aires	08	N	81.12	34.45866S	58.9142W	27	6	America/Argentina/Buenos_Aires
Paso de los Libres	Corrientes	08	N	43.805	29.71251S	57.08771W	73	5	America/Argentina/Cordoba
Obera	Misiones	08	N	56.528	27.48706S	55.11994W	345	6	America/Argentina/Cordoba
Necochea	Buenos Aires	08	N	73.557	38.5545S	58.73961W	19	6	America/Argentina/Buenos_Aires
Muniz	Buenos Aires	08	N	26.827	34.55622S	58.70739W	31	5	America/Argentina/Buenos_Aires
Moron	Buenos Aires	08	N	122.642	34.6509S	58.61956W	29	7	America/Argentina/Buenos_Aires
Monte Caseros	Corrientes	08	N	24.671	30.25359S	57.63626W	53	5	America/Argentina/Cordoba
Montecarlo	Misiones	08	N	22.229	26.5662S	54.757W	205	5	America/Argentina/Cordoba
Merlo	Buenos Aires	08	N	268.961	34.66627S	58.72927W	21	7	America/Argentina/Buenos_Aires
Mercedes	Buenos Aires	08	N	63.284	34.65145S	59.43068W	43	6	America/Argentina/Buenos_Aires
Mercedes	Corrientes	08	N	30.649	29.18416S	58.07519W	96	5	America/Argentina/Cordoba
Mar del Plata	Buenos Aires	08	N	593.337	38.00042S	57.5562W	14	8	America/Argentina/Buenos_Aires
Lujan	Buenos Aires	08	N	97.363	34.57028S	59.105W	27	6	America/Argentina/Buenos_Aires
Los Polvorines	Buenos Aires	08	N	53.354	34.50316S	58.70596W	28	6	America/Argentina/Buenos_Aires
La Plata	Buenos Aires	08	R	195.443	34.92145S	57.95453W	27	7	America/Argentina/Buenos_Aires
La Paz	Entre Rios	08	N	24.716	30.74179S	59.64517W	52	5	America/Argentina/Cordoba
Jardin America	Misiones	08	N	24.905	27.04346S	55.22698W	227	5	America/Argentina/Cordoba
Hurlingham	Buenos Aires	08	N	60	34.5904S	58.62904W	16	6	America/Argentina/Buenos_Aires
Gualeguaychu	Entre Rios	08	N	78.676	33.00937S	58.51722W	14	6	America/Argentina/Cordoba
Gualeguay	Entre Rios	08	N	33.12	33.14156S	59.30966W	14	5	America/Argentina/Cordoba
Goya	Corrientes	08	N	70.245	29.13995S	59.26343W	42	6	America/Argentina/Cordoba
Gobernador Virasora	Corrientes	08	N	28.756	28.05S	56.03333W	133	5	America/Argentina/Cordoba
General Pacheco	Buenos Aires	08	N	43.287	34.45256S	58.64312W	13	5	America/Argentina/Buenos_Aires
General Jose de San Martin	Chaco	08	N	31.758	26.53743S	59.34158W	81	5	America/Argentina/Cordoba
Garupa	Misiones	08	N	28.814	27.48171S	55.82921W	108	5	America/Argentina/Cordoba
Formosa	Formosa	08	R	222.226	26.18489S	58.17313W	67	7	America/Argentina/Cordoba
Fontana	Chaco	08	N	26.745	27.41813S	59.02392W	54	5	America/Argentina/Cordoba
